title,link,type,source,services,topics,featured,summary
3D Tumor Models: Predicting Better In Vivo and Translational Results,https://www.criver.com/resources/3d-tumor-models-predicting-better-vivo-and-translational-results,webinar,,"3D Tumor Assays, Patient-Derived Xenograft Models, Immuno-Oncology In Vitro Assays","3D Tumors, Ex vivo, In vitro, PDX","3D Tumors, 3D Tumor Assays, Patient-Derived Xenograft Models, PDX","You can fill this in with a brief summary, which only shows up if the article is featured. Maybe a chance to promote it a bit. Or you can leave it blank."
A Systematic PDX-Based Solution for Preclinical Biomarker Discovery,https://www.criver.com/resources/systematic-pdx-based-solution-preclinical-biomarker-discovery,webinar,,"3D Tumor Assays, Patient-Derived Xenograft Models, Immuno-Oncology In Vitro Assays","3D Tumors, Bioinformatics, Ex vivo, In vitro, PDX",3D Tumor Assays,
Cancer Immunotherapy: Advancing and Accelerating Discovery Programs,https://www.criver.com/resources/cancer-immunotherapy-advancing-and-accelerating-discovery-programs,webinar,,"Patient-Derived Xenograft Models, Immuno-Oncology In Vitro Assays, Humanized Models, Orthotopic Models, Immunodeficient Mice, Humanization Kit","Cancer Vaccines, CAR T, Humanized Models, Immuno-Oncology, Orthotopic, PDX, Syngeneic Models",,
Continuous Improvements in Humanized Mouse Models,https://www.criver.com/resources/continuous-improvements-humanized-mouse-models,webinar,,"Patient-Derived Xenograft Models, Immuno-Oncology In Vitro Assays, Humanized Models, Optical Imaging, Immunodeficient Mice, Humanization Kit","Cancer Vaccines, CAR T, Humanized Models, Imaging, Immuno-Oncology, PDX",,
Designing a Novel Cancer Drug: From Hit ID to Candidate,https://www.criver.com/resources/designing-novel-cancer-drug-hit-id-candidate,webinar,,,Integrated Drug Discovery,,
Humanized Mouse Models: PDX and Traditional Xenografts,https://www.criver.com/resources/humanized-mouse-models-pdx-and-traditional-xenografts,webinar,,"Immuno-Oncology In Vitro Assays, Immunodeficient Mice, CRISPR Gene Editing","Cancer Vaccines, CAR T, CRISPR, Immuno-Oncology",,
Incorporation of PDX-based In Vitro Assays into Preclinical Oncology Programs,https://www.criver.com/resources/incorporation-pdx-based-vitro-assays-preclinical-oncology-programs,webinar,,"Immuno-Oncology In Vitro Assays, Optical Imaging","3D Tumors, Bioinformatics, Ex vivo, Imaging, In vitro, PDX",,
Modelling Human Disease in Rodents with CRISPR/Cas9 Genome Editing,https://www.criver.com/resources/modelling-human-disease-rodents-crisprcas9-genome-editing,webinar,,CRISPR Gene Editing,CRISPR,,
Modulation of Tumor Progression by Immune Checkpoint Inhibitors in Syngeneic Murine Tumor Models,https://www.criver.com/resources/modulation-tumor-progression-immune-checkpoint-inhibitors-syngeneic-murine-tumor-models,webinar,,"Immuno-Oncology In Vitro Assays, Optical Imaging, Immunodeficient Mice","Bioinformatics, Imaging, Immuno-Oncology, Syngeneic Models",,
Navigating Regulatory Requirements for Immunogenicity,https://www.criver.com/resources/navigating-regulatory-requirements-immunogenicity,webinar,,,Safety,,
